timestamp,raspberry_x,raspberry_y,raspberry_z,router3_x,router3_y,router3_z,best_ap,ssid,rssi,distance_to_ap,latency_ms,throughput_mbps,packet_loss_percent,handover_detected,mesh_connected
1750975788.2151456,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975790.2155545,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975792.2159004,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975794.216309,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975796.2166734,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975798.2170484,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975800.2174182,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975802.2177484,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975804.2180798,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975806.218421,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975808.2187634,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975810.2191544,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975812.2194796,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975814.219821,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975816.220165,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975818.2204947,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975820.2208261,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975822.221159,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975824.2214792,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975826.2220557,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975828.2224066,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975830.2227345,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975832.2230577,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975834.2233784,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975836.223716,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975838.2240686,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975840.224396,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975842.2247238,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975844.2251165,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
1750975846.2254546,25.0,25.0,0.0,25.0,25.0,0.0,router3,Mesh-Mobile,14.95,0.01,5.0,54.0,0.0,NO,YES
